trial,n_total_customers,uf_target,pf,cluster_min,cluster_max,n_clusters,n_25kva,n_50kva,n_75kva,n_oversize_clusters,installed_kva_total,sum_cluster_peak_kw
154,27,0.8,0.9,1,12,4,1,0,2,1,175.0,226.9374609483162
155,27,0.8,0.9,1,12,5,0,1,4,0,350.0,244.79461550164314
156,27,0.8,0.9,1,12,5,2,0,2,1,200.0,243.931578075431
157,27,0.8,0.9,1,12,4,0,2,0,2,100.0,223.7866711429366
158,27,0.8,0.9,1,12,4,0,1,2,1,200.0,228.87648705265875
159,27,0.8,0.9,1,12,5,2,1,1,1,175.0,241.5224218565783
160,27,0.8,0.9,1,12,4,1,1,1,1,150.0,222.0233553612221
161,27,0.8,0.9,1,12,10,5,3,1,1,350.0,288.2837197544368
162,27,0.8,0.9,1,12,3,0,0,1,2,75.0,220.79888207989325
163,27,0.8,0.9,1,12,5,2,1,0,2,100.0,234.59521483636223
164,27,0.8,0.9,1,12,5,1,1,3,0,300.0,238.9509216630735
165,27,0.8,0.9,1,12,3,0,1,0,2,50.0,216.38260938296273
166,27,0.8,0.9,1,12,5,2,0,2,1,200.0,254.40018103326213
167,27,0.8,0.9,1,12,5,3,0,0,2,75.0,229.7690028989682
168,27,0.8,0.9,1,12,4,0,1,1,2,125.0,228.6449428965274
169,27,0.8,0.9,1,12,5,1,1,2,1,225.0,250.5534625602251
170,27,0.8,0.9,1,12,3,0,1,1,1,125.0,217.14464433007583
171,27,0.8,0.9,1,12,5,0,2,2,1,250.0,247.6836618974664
172,27,0.8,0.9,1,12,3,0,0,1,2,75.0,214.4758760477324
173,27,0.8,0.9,1,12,3,0,0,1,2,75.0,217.9130782685348
174,27,0.8,0.9,1,12,4,1,1,0,2,75.0,223.50439977393538
175,27,0.8,0.9,1,12,8,2,4,1,1,325.0,273.73198595519557
176,27,0.8,0.9,1,12,4,1,0,1,2,100.0,223.92199455703852
177,27,0.8,0.9,1,12,7,1,4,1,1,300.0,274.71997726423484
178,27,0.8,0.9,1,12,4,1,1,1,1,150.0,229.46932060916905
179,27,0.8,0.9,1,12,7,3,2,0,2,175.0,260.05984376524407
180,27,0.8,0.9,1,12,6,1,2,1,2,200.0,257.3156340398761
181,27,0.8,0.9,1,12,7,3,1,2,1,275.0,265.84206951079466
182,27,0.8,0.9,1,12,5,0,3,1,1,225.0,253.61244011978064
183,27,0.8,0.9,1,12,5,2,1,0,2,100.0,230.85267770511575
184,27,0.8,0.9,1,12,7,2,2,2,1,300.0,275.2396775106147
185,27,0.8,0.9,1,12,5,2,1,0,2,100.0,242.68125595135825
186,27,0.8,0.9,1,12,5,2,1,1,1,175.0,242.15009286790266
187,27,0.8,0.9,1,12,4,0,3,0,1,150.0,233.74840358939443
188,27,0.8,0.9,1,12,4,0,2,0,2,100.0,224.73390220145146
189,27,0.8,0.9,1,12,8,2,3,2,1,350.0,290.0552144108847
190,27,0.8,0.9,1,12,4,1,1,0,2,75.0,217.997994943621
191,27,0.8,0.9,1,12,5,1,3,0,1,175.0,261.1051483913597
192,27,0.8,0.9,1,12,3,0,0,1,2,75.0,211.80106094653067
193,27,0.8,0.9,1,12,5,0,2,2,1,250.0,242.413564456257
194,27,0.8,0.9,1,12,4,0,1,2,1,200.0,234.82852599559897
195,27,0.8,0.9,1,12,6,1,3,1,1,250.0,263.8972568122343
196,27,0.8,0.9,1,12,3,0,1,0,2,50.0,213.6592834015237
197,27,0.8,0.9,1,12,5,1,2,1,1,200.0,248.19051700209118
198,27,0.8,0.9,1,12,4,0,1,2,1,200.0,218.31459040186428
199,27,0.8,0.9,1,12,4,0,1,1,2,125.0,235.54192762270804
200,27,0.8,0.9,1,12,4,0,2,0,2,100.0,233.2722256947046
201,27,0.8,0.9,1,12,4,0,2,1,1,175.0,226.41435043253617
202,27,0.8,0.9,1,12,4,1,1,0,2,75.0,229.16073617517935
203,27,0.8,0.9,1,12,4,0,1,2,1,200.0,233.97231256685177
204,27,0.8,0.9,1,12,5,2,1,0,2,100.0,232.19570497740477
205,27,0.8,0.9,1,12,4,0,0,3,1,225.0,234.39009070585388
206,27,0.8,0.9,1,12,6,2,2,1,1,225.0,252.56282496616316
207,27,0.8,0.9,1,12,5,1,1,2,1,225.0,246.651241444538
208,27,0.8,0.9,1,12,3,0,1,0,2,50.0,214.90842800732645
209,27,0.8,0.9,1,12,6,1,2,2,1,275.0,254.48841625657755
210,27,0.8,0.9,1,12,4,1,1,0,2,75.0,237.61721524321564
211,27,0.8,0.9,1,12,5,1,2,0,2,125.0,252.34627204631067
212,27,0.8,0.9,1,12,9,2,6,1,0,425.0,287.37540877662127
213,27,0.8,0.9,1,12,5,3,0,1,1,150.0,229.1901408753734
214,27,0.8,0.9,1,12,4,0,1,2,1,200.0,242.88971385965232
215,27,0.8,0.9,1,12,6,2,2,1,1,225.0,252.05257054923072
216,27,0.8,0.9,1,12,4,0,1,1,2,125.0,241.98651536672986
217,27,0.8,0.9,1,12,3,0,1,0,2,50.0,213.79308047437996
218,27,0.8,0.9,1,12,5,0,1,4,0,350.0,244.38907259287453
219,27,0.8,0.9,1,12,5,1,1,2,1,225.0,249.19873349048993
