trial,cluster_index,cluster_size_houses,cluster_peak_kw,cluster_required_kva,chosen_transformer_kva,building_IDs
13,89,7,15.78227022919799,17.53585581021999,25.0,"['6545', '239992', '111433', '441278', '63556', '315490', '52377']"
13,90,13,37.64141413023148,41.82379347803498,50.0,"['107460', '346824', '175977', '519534', '283566', '131095', '495378', '452846', '412293', '19670', '261802', '256426', '472992']"
13,91,5,17.335759832078427,19.26195536897603,25.0,"['229548', '341616', '302088', '192312', '295670']"
13,92,11,33.15867773441716,36.84297526046351,50.0,"['103643', '488510', '179886', '282048', '259612', '348481', '396589', '124562', '434494', '384563', '141246']"
13,93,3,17.859760248866138,19.844178054295707,25.0,"['253224', '22158', '492549']"
13,94,1,8.147569754536303,9.052855282818111,25.0,['403104']
13,95,10,44.70989216500205,49.67765796111339,50.0,"['224866', '241676', '273801', '175687', '347246', '431957', '47840', '389346', '546972', '386916']"
13,96,13,31.37619066180464,34.862434068671824,50.0,"['316051', '156716', '192389', '18838', '122601', '531662', '304201', '44738', '10740', '248626', '517304', '515041', '261325']"
13,97,10,32.39301614281688,35.992240158685426,50.0,"['500108', '303622', '545696', '16760', '341670', '175523', '282801', '168910', '411121', '241758']"
13,98,2,11.236192464513165,12.484658293903514,25.0,"['528850', '523530']"
13,99,2,5.553403026429804,6.170447807144226,25.0,"['42766', '131226']"
13,100,4,15.547141789040072,17.2746019878223,25.0,"['49829', '436458', '372134', '527111']"
13,101,13,31.17181058962157,34.635345099579524,50.0,"['72989', '364735', '531460', '373657', '161861', '248221', '60725', '521269', '352319', '367483', '144651', '60197', '174597']"
13,102,2,9.803576738398114,10.89286304266457,25.0,"['284091', '137501']"
13,103,3,12.095116621947689,13.439018468830763,25.0,"['92339', '213027', '504968']"
13,104,4,12.52544496951104,13.917161077234487,25.0,"['239985', '346823', '115209', '106794']"
13,105,3,11.51682983936487,12.7964775992943,25.0,"['35073', '96010', '342684']"
13,106,8,28.22621136966421,31.362457077404677,50.0,"['359627', '203733', '417114', '152328', '294527', '292676', '428936', '378673']"
13,107,5,14.4285999454803,16.031777717200335,25.0,"['291601', '110117', '290676', '450684', '506220']"
